CompAA_nuCelprot,hydrophathy_index_,NEIG_index,KD_Hydrophobicity,Modified_KD_hydrophob_scale,solubility_index,Partition_coeff,basic_aa_count,charge_value,positive_charge,Polarity,nHbondDonors,instability_index,pI,8AcontactNumber,percentExposedResidues,FreeEnergySolutionWater,pK(_COOH),SideChainHydropathyCorrectSolvation,Avrg_FlexibilityIndices,peptide_disorder_percentage,Citrullination_aa_count,msd
5.744444444,1.544444444,52.20555556,13.9,1.404444444,1.544444444,-2.25,1,-0.355571261,0.111111111,6.2,0.222222222,56.6,6.184444444,0.583333333,20.66666667,0.174,2.247777778,-1.695555556,0.372555556,33.33333333,0,1
6.277777778,0.933333333,51.64555556,8.4,0.788888889,0.933333333,-2.48,2,0.644403621,0.222222222,11.93,0.666666667,65.4,6.694444444,0.372222222,27.77777778,-0.166555556,2.1,-0.86,0.424888889,33.33333333,1,1
7.411111111,0.3,51.35,2.7,-0.011111111,0.3,-2.518888889,3,2.557377513,0.333333333,17.56666667,1.333333333,51.68888889,7.606666667,0.358888889,35.66666667,-0.306222222,1.914444444,-0.127777778,0.439444444,11.11111111,3,1
6.477777778,0.188888889,49.47555556,1.7,0.087777778,0.188888889,-2.673333333,1,0.554947275,0.111111111,6.443333333,0.666666667,-0.544444444,6.3,-0.123333333,33.55555556,-0.141222222,2.193333333,-0.795555556,0.444222222,33.33333333,0,1
6.488888889,1.288888889,52.58333333,11.6,1.111111111,1.288888889,-2.526666667,2,1.557402631,0.222222222,11.83777778,1,8.888888889,6.946666667,0.497777778,27.44444444,-0.032,2.002222222,-0.527777778,0.42,11.11111111,2,1
5.666666667,0.266666667,51.05555556,2.4,0.25,0.266666667,-2.54,3,0.299472235,0.333333333,17.36,0.555555556,57.07777778,6.617777778,0.366666667,27.55555556,0.743444444,2.122222222,-0.702222222,0.400444444,44.44444444,0,1
6.477777778,1.422222222,51.45444444,12.8,1.462222222,1.422222222,-2.306666667,1,-0.710145246,0.111111111,6.201111111,0.333333333,30.28888889,6.035555556,0.366666667,20.22222222,0.418555556,2.205555556,-1.558888889,0.406111111,33.33333333,0,1
7.466666667,-2.022222222,47.2,-18.2,-2.123333333,-2.022222222,-3,3,-0.745965234,0.333333333,33.88888889,1.555555556,108.7555556,6.506666667,-0.335555556,49.44444444,0.306555556,1.997777778,1.425555556,0.473888889,55.55555556,2,1
5.322222222,0.844444444,51.34777778,7.6,0.798888889,0.844444444,-2.468888889,1,-0.478234011,0.111111111,11.48,0.444444444,-27.71111111,6.048888889,0.404444444,27.11111111,0.481777778,2.296666667,-0.833333333,0.402444444,33.33333333,0,1
6.277777778,-0.655555556,48.55777778,-5.9,-0.631111111,-0.655555556,-2.746666667,2,0.249337888,0.222222222,17.32222222,0.888888889,53.4,6.405555556,-0.128888889,39.44444444,0.334555556,2.254444444,-0.053333333,0.420666667,66.66666667,0,1
7.088888889,-0.988888889,47.76555556,-8.9,-1.123333333,-0.988888889,-2.94,1,0.605296705,0.111111111,6.845555556,0.888888889,63.65555556,6.294444444,-0.344444444,38.55555556,-0.183222222,2.218888889,0.162222222,0.471222222,66.66666667,0,1
5.4,-1.811111111,48.67666667,-16.3,-1.842222222,-1.811111111,-2.87,3,1.529033957,0.333333333,23.27333333,1.444444444,35.2,6.82,-0.167777778,45.55555556,0.763333333,2.006666667,0.496666667,0.437888889,44.44444444,1,1
6,0.233333333,49.98666667,2.1,0.182222222,0.233333333,-2.285555556,2,1.552441682,0.222222222,11.85888889,0.777777778,19.84444444,6.808888889,0.194444444,38.77777778,0.454666667,2.26,-1.072222222,0.421777778,55.55555556,0,1
4.611111111,-0.466666667,50.89888889,-4.2,-0.545555556,-0.466666667,-2.654444444,3,0.60369679,0.333333333,17.56333333,0.666666667,39.95555556,6.607777778,0.297777778,27.55555556,0.700777778,2.11,-0.481111111,0.385888889,44.44444444,0,1
6.144444444,0.744444444,50.44,6.7,0.694444444,0.744444444,-2.542222222,1,0.554947275,0.111111111,6.247777778,0.444444444,27.08888889,6.332222222,0.14,29.77777778,-0.084555556,2.233333333,-0.962222222,0.433555556,33.33333333,0,1
6.2,0.511111111,50.42777778,4.6,0.443333333,0.511111111,-2.566666667,2,0.591573716,0.222222222,11.83111111,0.666666667,20.85555556,6.478888889,0.127777778,30.55555556,0.226555556,2.203333333,-0.768888889,0.414777778,33.33333333,0,1
7.088888889,-0.888888889,48.14444444,-8,-1.091111111,-0.888888889,-2.905555556,3,1.248638493,0.333333333,22.69,1.111111111,46.61111111,6.99,-0.245555556,45.22222222,-0.144444444,2.081111111,0.411111111,0.457444444,55.55555556,1,1
5.188888889,0.366666667,50.94666667,3.3,0.24,0.366666667,-2.532222222,1,0.523125703,0.111111111,6.62,0.777777778,-7.811111111,6.331111111,0.116666667,27.88888889,-0.097,1.992222222,-0.761111111,0.432111111,22.22222222,1,1
4.722222222,-0.322222222,50.72444444,-2.9,-0.408888889,-0.322222222,-2.627777778,2,0.501375839,0.222222222,17.27777778,0.777777778,16.33333333,6.208888889,0.342222222,35.44444444,2.036888889,2.105555556,-0.342222222,0.398,55.55555556,0,1
5.433333333,1.933333333,53.14888889,17.4,1.722222222,1.933333333,-2.386666667,0,-0.501352546,0,0.465555556,0.111111111,46.18888889,5.814444444,0.672222222,13,0.781333333,2.211111111,-1.701111111,0.370111111,11.11111111,0,1
5,0.544444444,50.62444444,4.9,0.513333333,0.544444444,-2.381111111,0,-1.444606241,0,6.536666667,0.555555556,121.9111111,5.506666667,0.15,30.66666667,0.961,2.165555556,-1.031111111,0.449222222,55.55555556,0,1
6.011111111,0.188888889,50.39,1.7,-0.053333333,0.188888889,-2.73,1,-0.442125767,0.111111111,11.66333333,0.555555556,55.96666667,6.158888889,0.12,27.22222222,-0.13,2.124444444,-0.332222222,0.451222222,22.22222222,1,1
4.911111111,-0.066666667,51.25222222,-0.6,-0.071111111,-0.066666667,-2.421111111,1,0.554922157,0.111111111,7.02,1.111111111,13.58888889,6.308888889,0.258888889,31.55555556,0.956444444,2.087777778,-0.607777778,0.426555556,44.44444444,1,1
